peri-appendicular red patches
    SymPathy                                                           2007-11-14 14:18:35
    D3630         EPEDERMOLYSIS BULLOSA
    D3670         ICHTYOS
    D3677         ICHTYOS CONG RECESS -ICKEBULLÖS
    D3800         BINDVÄVS SJD UNS
    D3808         ALLERGISK KUTAN VASKULIT
    D3810         MUCOPOLYSACCARIDOS
    D3830         SICCA SYND
    D3840         REUMATISK FEBER
    D3860         MCTD
    D3867         LE UNS
    D3868         KRONISK DISCOID LE
    D3869         LUPUS ERYTHEMATODES UNS
    D3872         SLE
    D3876         SCLERODERMA UNS
    D3879         MORPHEA
    D3886         SCLERODERMATOMYOSIT
    D4010         ANÄMI UNS
    D4012         BLÖDNINGSANEMI AKUT
    D4013         BLÖDNINGSANEMI KRONISK
    D4031         APLASTISK ANÄMI
    D4040         "PURE RED CELL" ANÄMI
    D4050         MEGALOBLASTISK ANÄMI
    D4060         PERNICIÖS ANÄMI
    D4072         JÄRNBRIST ANÄMI
    D4080         SIDEROBLASTISK ANÄMI
    D4090         ERYTHROCYT ABNORM M ANÄMI UNS
    D4091         KONG HÄMOLYT ANÄMI SFÄROCYTOS
    D4104         KONG HÄMOLYT ANÄMI ICKE SFÄROCYTOS
    D4125         HYPERSPLENISM UNS
    D4130         HÄMOGLOBINOPATI
    D4160         THALASSEMI UNS
    D4200         PORFYRI UNS
    D4250         HÄMOLYTISK ANÄMI FÖRVÄRVAD
    D4322         PAROXYSMAL NOCTURN HEMOGLOBINURI
    D4349         MYELODYSPLASTISKT SYNDROM UNS
    D4357         AGRANULOCYTOS
    D4391         MDS TYP 1
    D4392         MDS TYP 2
    D4393         MDS TYP 3
    D4394         MDS TYP 4A
    D4395         MDS TYP 4B
    D4396         MDS TYP 5
    D4397         MDS AML
    D4398         SMOULDERING LEUKEMIA (HYPOPLASTISK)
    D4400         KOAGULOPATI UNS
    D4500         TROMBOCYTDEFEKT KVALITATIV UNS
    D4544         IDIOPATISK TROMBOCYTOPEN PURPURA
    D4600         IMMUNDEFEKT UNS
    D4680         ERYTHROBLASTOSIS FETALIS
    D4690         GRAFT VS HOST DISEASE NOS (GVHD)
    D4700         AUTOIMMUN SJD
    D4710         IMMUNOGLOBULIN SJD
    D4715         DYSPROTEINEMI U.N.S.INKL."BENIGN"M-KOM
    D4722         MAKROGLOBULIN WALDENSTRÖM
    D4780         HYPERSENSITIV SJD UNS
    D4790         ASTMA UNS
    D4808         ALLERGISK KUTAN VASKULIT
    D4850         IMMUNOPROLIFERATIV SJD UNS
    D5000         MULTIPEL SYSTEM MISSB
    D5096         ZELLWEGERS SYND
    D5400         HAMARTOMATÖS SJD
    D5425         NEUROFIBROMATOS
    D5435         STURGE WEBER ANGIOM
    D5437         TUBERÖS SKLEROS
    D5500         KROMOSOMAL SJD
    D5761         KLINEFELTER
    D6122         MIKULICZ'S SJD
    D6131         PLUMMER-VINSON
    D6214         OKLASS COLIT/INDETERMINATE COLITIS
    D6216         MB CROHN
    D6217         MALABSORPTION UNS
    D6218         CELIACI
    D6221         TROPISK SPRUE
    D6255         ULCERÖS COLIT
    D6391         MUCOVISCIDOS
    D6521         DIALYS DEMENS
    D6604         BARTTERS SYND
    D6718         ALPORTS SYND
    D6730         BERGER´S IgA-NEFRIT
    D6734         BALKANNEFRIT
    D6740         GOODPASTURES SYNDROM
    D6763         AKUT TUBULOINTERSTITIELL NEFRIT
    D7100         CARDIOMYOPATHI UNS
    D7210         ENDOCARDIT
    D7321         POLYARTERITIS NODOSA
    D7338         SHY DRAGER SYND
    D7372         HYPERTENSIV ANGIOPATI
    D7600         PNEUMOCONIOS UNS
    D7610         ANTRAKOS//
    D7695         WEGNERS GRANULOMATOS
    D7705         IRDS
    D7750         ASPIRATION
    D8010         MYOGLOBINURI SYND
    D8020         MUSKELDYSTROFI UNS
    D8040         NEUROMUSK PARALYT SJD
    D8050         MYOTONT SYND
    D8060         MYOPATI UNS
    D8081         DERMATOMYOSIT
    D8100         MOTOR SYND
    D8139         INFANTIL NEUROAXON DYSTR
    D8140         MOTORNEURON SJD
    D8141         AMYOTROFISK LATER SKL
    D8145         WERDNIG HOFFMAN
    D8300         KRAN NERV SJD UNS
    D8400         MULTIPEL KRAN NERV SJD
    D8430         RÖRELSE - KOORDIN SYND
    D8432         CHOREA
    D8450         PARKINSONISM
    D8507         MENTAL RETARDATION
    D8540         DEMENS UNS
    D8542         SENIL DEMENS
    D8543         ALZHEIMERS SJD
    D8548         LOBÄR CEREBRAL ATROFI
    D8700         NEUROTOXISKT SYND
    D8721         HEPATISK ENC PATI
    D8724         URÄMISK ENC PATI
    D8725         HEPATOLENTICULÄR DEG
    D8740         DEGENERATIV SJD CNS
    D8760         NUTRIRIONSBET SJD CNS
    D8770         ALKOHOLRELAT SJD CNS
    D8832         REYES SYND
    D8836         SERÖS MENINGIT EJ INF
    D8870         DEMYELINIS CNS SYND
    D8900         CIRKULATIONSBET CNS SYND
    D8904         CEREBRALT KÄRL OCCL SYND
    D8914         HYPERTENSIV ENC PATI
    D8931         T I A
    D9000         SINNES SJD UNS
    D9106         HEMOLYTISK ANEMI U.N.S.
    E5510         ALKOHOL
    E7000         Etiologi läkemedel UNS alternativt
    FY0200        MEDIKAMENTELL BIVERKAN
    m00000        ******
    M00001        RADIKAL EXC
    M00002        EXC EJ RAD
    M00003        RAD TVEKSAM
    M00004        RAD EJ BEDÖMBAR
    M00020        ÖNSKAD UNDERSÖKNING EJ UTFÖRD
    M00030        OKLART FALL /"K-FALL"
    M00100        NORMAL MAKR MORF
    M00110        NORMAL MIKR MORF
    M00120        NORMALT CYTOLOGISKT FYND
    M00140        NORMAL EM
    M00150        NORMAL KROMOSOM MORF
    M00PCR        M00PCR
    M00Y24        DIAFRAGMA
    M01000        ABNORM MORFOLOGI
    M01110        MINIMAL LESION
    M03868        KRONISK DISCOID LE
    M09000        OTILLRÄCKL MAT
    M09005        NEDSATT BEDÖMBARHET
    M09010        EJ DIAGNOSTISKT/NEG.SPEC.FÄRGNING
    M09019        ENDOCERVIKALA CELLER SAKNAS
    M09030        EJ BEDÖMBART MATERIAL
    M09100        INGET MATERIAL
    M09150        PREP.FÖRLORAT I HANTERINGEN
    M09350        utan specifikation************************
    M09450        INGA HÅLLPUNKTER FÖR MALIGNITET
    M10000        TRAUMA
    M10020        FÖRLOSSNINGSTRAUMA
    M10400        KOMPRESSION
    M10500        GNIDNINGSBLÅSA
    M10540        DEKUBITALSÅR
    M11100        BRÄNNSKADA UNS
    M11111        EJ SLUTGILTIGT BESVARAT
    M11200        KÖLDSKADA UNS
    M11400        FOTODERMATIT
    M11600        STRÅLFÖRÄNDRING
    M12000        FRAKTUR
    M13510        ANKYLOS
    M13550        SPONDYLOS
    M14000        VULNUS
    M14110        EROSION
    M14300        INSEKTSBETT HUNDBETT
    M14430        RUPTUR
    M14700        PERFORATION
    M15600        TRANSPLANTAT
    M15800        IMPLANTAT
    M18000        STATUS POST OP
    M20000        MISSBILDNING
    M20150        ARNOLD CHIARI
    M20220        HOLOPROSENCEFALI
    M20300        STENOS KONGENITAL
    M20500        HYPERTROFI KONGENITAL
    M21000        APLASI KONGEN
    M21300        HYPOPLASI KONGEN
    M21370        ASK-U-NJURE
    M21400        EMBRYNONAL REST
    M21500        SLUTNINGSDEFEKT
    M21800        FISTEL KONGEN
    M22222        ARKIVERAT MATERIAL
    M22300        ÖVERTALIGT ORGAN
    M22410        CHONDRODYSTROFI
    M22420        OSTEOGEN IMPERF
    M22580        OSTEOPOIKILOS
    M23050        HYDRONEPHROS
    M23070        KONGEN RENAL DYSPLASI
    M23080        MULTICYST DYSPLAS NJURE
    M24600        MISSBILDNING KÄRL
    M24810        AV-SHUNT KONGEN
    M25270        MESONEFRIC DUCT HYPERPLASIA
    M25410        BARKDYSGENESI UNS
    M25420        PORENCEFALI KONGENITAL
    M25460        MICROPOLYGYRI
    M25470        MACROGYRI
    M25500        KONGENITAL ISCHÄMISK ATROFI
    M26000        EKTOPI
    M26010        FORDYCES GRANULAE
    M26020        EKTOPI PANCREASVÄV
    M26030        EKTOPISK MAMMARVÄVNAD
    M26040        EKTOPI TARM SLH
    M26080        EKTOPI VENTRIKEL SLH
    M26090        EKTOPI BINJUREVÄV
    M26100        EKTOPI THYREOID VÄV
    M26160        EKTOPI GLIAVÄVNAD
    M26170        EKTOPI HYPOFYSVÄV
    M26200        EKTOPI TESTIS
    M26230        EKTOPI GRÅ SUBSTANS INOM CNS
    M26240        EKTOPI THYMUSVÄV
    M26370        MESONEFRIC REST
    M26500        CYSTA KONGENITAL
    M26700        KONGENIT POLYCYST FÖR
    M26730        POLYCYSTISK NJURE
    M28000        ABORT
    M28001        * ABORT INDUC
    M28030        RETENTION AV PLACENTA/FOSTER
    M28100        ABNORMT FOSTER
    M28130        MACERERAT FOSTER
    M28500        TVILLING OCH FLERBÖRD
    M29000        PLACENTA ABNORM
    M29010        EKTOPISK PLACENTA
    M29040        PLACENTA TV MONOCHORIONISK, DIAMNIOTISK
    M29170        PLACENTA PRAEVIA
    M29240        PLACENTA TVILLING
    M29280        PLACENTA CIRCUMVALL
    M29650        VELAMENT INSERT AV N-STRÄNG
    M29710        KÄRLANOMALI I N-STRÄNG
    M30000        KONKREMENT
    M30400        FRÄMMANDE KROPP
    M31050        PROLAPS
    M31120        INVAGINATION
    M31140        NÄTHINNEAVLOSSNING
    M31210        EVERSION
    M31220        INVERSION
    M31600        HERNIA
    M32100        DILATATION EKTASI
    M32200        DISTENTION
    M32400        ANEURYSM
    M32420        ANEURYSM A-V
    M32430        ANEURYSM ARTERIOSKLER
    M32470        ANEURYSM DISS
    M32520        ANEURYSM MYKOTISKT
    M32540        ANEURYSM SACCULÄRT
    M32600        VARIX
    M32620        HEMORRHOJD
    M32700        DIVERTIKEL
    M32710        DIVERTIKULOS
    M32800        EMFYSEM UNS
    M33000        RETENTION
    M33060        GALLSTAS
    M33130        MILIARIA
    M33200        MUCOCELE
    M33300        VÄTSKERETENTION
    M33320        HYDROCEFALUS UNS
    M33330        HYDROCEFALUS EX VACUO
    M33400        CYSTA
    M33410        SKIVEPITELCYSTA
    M33420        EPITELCYSTA
    M33500        FOLLIK CORP LUT CYSTA
    M33520        CORPUS LUTEUMCYSTA
    M33540        CYSTA, HAEMORRHAGISK
    M33600        SYNOVIALCYSTA
    M33640        ANEURYSMAL BENCYSTA
    M33800        MULTIPLA CYSTOR
    M33900        RETENTION AV GAS
    M34000        STENOS OBSTRUKTION
    M34100        STENOS UNS
    M34200        TORSIN VOLVULUS
    M34300        ATELEKTAS
    M35100        TROMB/TROMBOS
    M35101        TROMB FÄRSK
    M35103        TROMB ORGANISERAD
    M35300        EMBOLUS
    M35480        MIKROEMBOLUS
    M36000        ÖDEM STAS EXUDAT
    M36100        STAS
    M36220        URINREFLUX
    M36270        PNEUMOTHORAX
    M36300        EXUDAT
    M36360        BULLA/BLÅSA
    M36500        ÖDEM
    M36660        LYMFÖDEM
    M36800        SEKRET
    M37000        BLÖDNING
    M37020        PETEKIAL BLÖDNING
    M37050        PELIOS
    M37100        HEMATOM
    M37300        PURPURA
    M38000        ULCUS
    M38090        ULCUS PEPTISKT
    M38250        ULCUS AFTÖST
    M38280        ULCUS SOLITÄRT
    M39100        SEKVESTER
    M39300        FISTEL
    M39370        AV-FISTEL FÖRV
    M39400        KAVITET
    M39450        SYRINGOMYELI
    M40000        INFLAM OSPEC
    M40001        BRONCHOPNEUMONI
    M40002        LOBÄR PNEUMONI
    M40003        INTERSTIT PNEUMONI
    M40160        INFLAM JÄTTECELLS
    M40400        PUSTULÄR INFLAMMATION UNS
    M40460        INFLAM OSPEC VARIG
    M40590        PSEUDOMEMBRANÖS INFLAM
    M40600        KOLLAGEN COLIT
    M40700        INFLAM NEKROTIS
    M40800        INFLAM VESIKULÄR BULLÖS
    M41000        INFLAM AKUT
    M41700        INFLAM NEKROT AKUT - ABSCESS
    M41730        PYODERMA GANGRENOSUM
    M41740        ABSCESS, NOS
    M42000        INFLAM SUBAKUT
    M42100        INFLAM AKUT O KRONISK
    M43000        INFLAM KRONISK
    M43001        KRONISK PERSISTERANDE HEPATIT
    M43005        KAH
    M43030        INFLAM KRON ULCER
    M43080        INFLAM KRON FOLLIK
    M43180        MALAKOPLAKI
    M43500        PUSTULOSIS PALM PLANT UNS
    M43750        CHONDRODERMATITIS NODULARIS
    M43800        KRONISK CYSTISK INFL
    M44000        INFLAM GRANULOMATÖS
    M44050        EOSINOFILT GRANULOM
    M44080        GRANULOMA FACIALE
    M44090        KOLESTEROLGRANULOM
    M44110        REP JÄTTEC GRANULOM
    M44120        PERIF JÄTTEC GRANULOM
    M44140        FRÄMMANDE KROPP REAKTION
    M44180        SPERMAGRANULOM
    M44200        EPITELOID GRANULOMATOS ICKE NEKROT
    M44440        GRANULOMA TELANGIECT
    M44460        URETHRAKARUNKEL
    M44700        INFLAM GRANULOMATÖS NEKROT
    M44900        INFLAM FIBRINOID NEKROT
    M44920        GRANULOMA ANNULARE
    M44930        NECROBIOSIS LIPOIDICA
    M44940        RHEUMATOID NODULUS
    M45000        INFLAM M FIBROS
    M45020        GRANULATIONSVÄVNAD
    M45080        PANNUS
    M45270        SKLEROS OSTEOMYELIT
    M45350        VILLÖS TENOSYNOVIT
    M45600        INFLAM M FETTVÄVSNEKROS
    M45620        ERYTHEMA NODUSUM
    M45700        BOOP
    M45810        THYREOIDIT HASHIMOTO
    M46000        INFLAM M MEKANISK ABNORM
    M46050        TROMBOFLEBIT
    M46060        MB BUERGER
    M46300        FISTULERANDE INFLAM
    M46350        PILONIDALSINUS
    M46400        DIVERTICULIT
    M46500        INFLAM PGA OCCLUSION
    M46520        HIDRADENIT
    M46540        ACNE
    M46620        ACNE ROSACEA
    M46700        INFLAM M PROLIF
    M46810        GLOMERULONEFRIT PROLIF
    M46811        GLOMERULONEFRIT PROLIF FOKAL
    M46840        GLOMERULONEFRIT MEMBRANOPROLIF
    M46860        GLOMERULONEFRIT, MESANGIAL TYP
    M46870        Glomerulonefrit, Endokap. Proliferativ.
    M46880        GLOMERULONEFRIT RAPID PROG
    M47000        INFLAM CELLINFILTRAT
    M47110        AKUT INFLAMMATORISKT CELLINFILTRTAT
    M47150        EOSINOFILT CELLINFILTRAT
    M47170        LYMFOCYTÄRT CELLINFILTRAT UNS
    M47180        HISTIOCYTÄRT CELLINFILTRAT
    M47200        PLASMACELLS INFILTRAT
    M47250        JESSNERS LYMFOCYTÄRA INFILTRAT
    M47400        FOLLIKULIT
    M47600        KONTAKTDERMATIT
    M47720        POLYARTERIT
    M47780        POLYARTRIT
    M47830        NODULÄR TENOSYNOVIT
    M47870        JÄTTECELLSHEPATIT
    M48000        EKSEM UNS
    M48010        STASDERMATIT
    M48130        PRURIGO NODULARIS
    M48210        ATOPISK DERMATIT
    M48400        ERYTEM UNS
    M48410        ERYTHEMA ANNULARE CENTRIFUG
    M48490        ERYTHEMA DYSCHROMICUM
    M48510        SWEET (AKUT NEUTROFIL DERMATIT)
    M48520        PITYRIASIS LICHEN ET VARIOLIF
    M48530        ERYTHEMA ELEVATUM DIUTINUM
    M48540        LÄKEMEDELSEXANTEM
    M48550        FIXT LÄKEMEDELSEXANTEM
    M48560        ERYTHEMA MULTIFORME STEVEN JOHNSON
    M48580        PURPURA PIGMENTOSA
    M48620        TOXISK EPIDERMAL NEKROLYS
    M48800        INFLAM HYPERKERATOT DERMATIT UNS
    M48820        SEBORRHOISK DERMATIT
    M48840        PSORIASIS UNS
    M48880        PITYRIASIS ROSEA
    M48890        LICHEN PLANUS
    M48900        LICHEN STRIATUS
    M48930        PARAPSORIASIS
    M48960        PITYRIASIS LICHENOIDES CHRONICA
    M48980        PITYRIASIS RUBRA PILARIS
    M49000        FIBROS UNS
    M49004        FIBROS MULTIFOKAL
    M49020        TYMPANOSKLEROS
    M49060        ÄRR
    M49090        PERISPLENITIS CARTILAGINEA
    M49160        GLIOS UNS
    M49210        SKRUMPNJURE
    M49500        CIRRHOS
    M49501        CIRRHOS INCIPIENT, MISSTANKE PÅ
    M49540        CIRRHOS INKOMPLETT SEPTAL
    M49580        CIRRHOS SEKUNDÄR BILIÄR
    M49590        CIRRHOS PRIMÄR BILIÄR
    M49592        CIRRHOS PRIMÄR BILIÄR STAD. 3+4
    M49700        EXCESSIV LÄKNING
    M49720        KELOID
    M49730        HYPERTROFISKT ÄRR
    M49770        AMPUTATIONSNEUROM
    M49900        BENNYBILDNING
    M50000        DEGENERATION
    M50010        SENIL ELASTOS
    M50030        DEGENERATION HYDATID
    M50080        FÖRFETTNING
    M50100        DEGENERATION MYXOID
    M50140        ELASTOS
    M50170        COLLOID MILIUM
    M50180        PINGUECULA
    M50210        OSTEOPOROS
    M50230        OSTEOARTHROS DEFORM
    M50280        ARTHROS NEUROPAT
    M50400        DEMYELINISERING PRIMÄR
    M50410        DEMYELINISERING UNS
    M50420        DEMYELINISERING SEGMENTELL
    M50440        STATUS MARMORATUS
    M50480        DEMYELINISERING SEKUNDÄR WALLERSK
    M50520        DEGENERATION TRANSSYNAPTISK
    M50630        ALZHEIMERS NEUROFIBRILLDEGENERATION
    M50640        ALZHEIMERS SENILA PLAQUE
    M51550        EPIDERMOLYS
    M51570        AKANTHOLYS
    M51600        CYTOPATISK FÖRÄNDRING
    M52000        ARTERIOSKLEROS
    M52100        ATHEROM PLAQUE
    M52200        ARTERIOLOSKLEROS
    M52210        MALIGN NEFROSKLEROS
    M52220        BENIGN NEFROSKLEROS
    M52300        FIBROELASTOS
    M52470        MEDIONEKROS
    M52500        FLEBOSKLEROS
    M53100        NEFROS
    M53140        NEFROS CHOLÄMISK
    M53150        NEFROS AKUT TUBULÄR
    M53160        MINIMAL CHANGES NEFROP
    M53300        GLOMERULOSKLEROS
    M53301        GLOMERULOSKLEROS FOKAL
    M53320        GLOMERULOSKLEROS NODULÄR
    M54000        NEKROS
    M54001        NEKROS FOKAL
    M54002        MASSIV NEKROS (APALLISKT SYNDROM)
    M54110        NEKROS FETTVÄV
    M54120        NEKROS ZONAL
    M54140        PIECEMEALNEKROS
    M54180        NEKROBIOS (HJÄRNDÖD)
    M54200        ISCHEMISK NEKROS
    M54220        EPIFYS ISCHÄM NEKROS
    M54250        OSTEOCHONDR DISSEC
    M54400        OSTEOMALACI
    M54600        GANGRÄN
    M54700        INFARKT
    M54701        INFARKT MIKROSKOPISK
    M54720        INFARKT FÄRSK
    M54750        INFARK LÄKT
    M54810        INFARKT GRÄNSZON
    M55000        INLAGRING
    M55020        INLAGRING HYALINA MEMB
    M55070        INLAGRING URINSYRA
    M55100        INLAGRING AMYLOID
    M55200        INLAGRING FETT
    M55240        INLAGRING KOLESTEROL
    M55250        CHOLESTEROLOS
    M55300        INLAGRING XANTOMATÖST MAT
    M55301        GLOMERULOSKLEROS, FOKAL SEGMENTELL
    M55380        XANTOGRANULOM JUVEN
    M55390        RETROPERIT XANTOGRANULOM
    M55400        INLAGRING KALK
    M55470        FÖRKALKNING CEREBROVASK EJ ARTERIOSKLER
    M55590        PSAMMONKROPPAR
    M55600        INLAGRING PROTEIN
    M55620        Ag-Ak REAKTION POS.
    M55670        LICHEN MYXODEMATOSUS
    M55680        MYXÖDEM LOKALISERAT
    M55700        INLAGRING FRÄMMANDE MAT
    M55730        INLAGRING OXALAT
    M55770        INLAGRING KOL
    M55780        INLAGRING KOL O KISEL
    M55790        INLAGRING KISEL
    M55800        INLAGRING JÄRN
    M55820        INLAGRING ASBEST
    M55930        TATUERING
    M56000        DYSTROFIER UNS
    M56010        HYPERTROFISK DYSTROFI
    M56810        CUTIS LAXA
    M56840        ANETODERMA MACULARIS
    M56890        PSEUDOXANTOMA ELASTICUM
    M57000        PIGMENTINLAG
    M57100        PIGMENTFÖRÄNDRING UNS
    M57170        HYPERPIGMENTERING
    M57200        PIGMENTINLAG MELANIN
    M57250        LENTIGO
    M57300        MELANODERMATITIS TOXICA
    M57330        ACANTHOSIS NIGRICANS
    M57340        INCONTINENTIA PIGMENTI
    M57500        PIGMENTINLAG HEMOSIDERIN
    M57600        PIGMENTINLAG GALLPIGMENT
    M57700        PIGMENTINLAG LIPOGRAN
    M57800        PIGMENTINLAG METALL
    M58000        ATROFI
    M58005        PARTIELL ATROFI
    M58006        SUBTOTAL ATROFI
    M58007        TOTAL ATROFI
    M58010        ATROFI PRIMÄR
    M58020        ATROFI SEKUNDÄR
    M58090        NEURONBORTFALL
    M58130        ATROFI MUSKULÄR NEUROGEN
    M58160        ATROFI INVOLUTION
    M58240        LICHEN SCLER ET ATROF
    M58330        ACRODEMAT CHRON ATROFICANS
    M58420        LOKALISERAD ATROFI
    M58500        PHTIS
    M58550        POIKOLODERMA ATROFICANS
    M58600        ALOPEKI UNS
    M58740        ALOPECIA CICATRISATA
    M58790        ALOPECIA MUCINOSA
    M59100        CYTOPENI
    M59120        PANCYTOPENI
    M61000        KROMOSOM FÖRÄNDR UNS
    M61600        SEXKROMOSOM FÖRÄNDR
    M65500        KÄRNINKL
    M66000        CYTOPLASMAFÖRÄNDR. UNS
    M66040        CYTOPLASMAVAKUOLISERING
    M66080        HYALIN DEGENER / MALLORY
    M66700        INTRACYTOPLASMATISKA INKLUSIONER
    M66750        CYTOPLASMATISKA INLAGRINGAR
    M68130        MEMBRANÖS GLOMERULONEFRIT
    M69400        REAKTIV GASTRIT
    M69700        ATYPI
    M69706        ATYPI LÄTT
    M69707        ATYPI MÅTTLIG
    M69708        ATYPI STARK
    M69709        ATYPI MALSUSP
    M69710        SKIVEPITELATYPI
    M69716        SKIVEPITELATYPI LÄTT
    M69717        SKIVEPITELATYPI MÅTTLIG
    M69718        SKIVEPITELATYPI STARK
    M69719        SKIVEPITELATYPI MALSUSP
    M69720        KÖRTELCELLSATYPI
    M69726        KÖRTELCELLSATYPI LÄTT
    M69727        KÖRTELCELLSATYPI MÅTTLIG
    M69728        KÖRTELCELLSATYPI STARK
    M69729        KÖRTELCELLSATYPI MALSUSP
    M69730        ÖVERGÅNGSEPITELATYPI
    M69736        ÖVERGÅNGSEPITELATYPI LÄTT
    M69737        ÖVERGÅNGSEPITELATYPI MÅTTLIG
    M69738        ÖVERGÅNGSEPITELATYPI STARK
    M69739        ÖVERGÅNGSEPITELATYPI MALSUSP
    M69780        ATYPI INFLAM
    M69790        *ATYPI CYTOSTA/LÄKEMED.BETING.
    M69820        ÖSTROGENPÅVERKAN
    M70240        DVÄRGVÄXT
    M70420        JÄTTEVÄXT AKROMEGALI
    M70800        INVOLUTION UNS
    M71000        HYPERTROFI
    M71400        EXOSTOS
    M71600        STRUMA UNS
    M71620        KOLLOIDSTRUMA
    M71640        ADENOMATÖS NODÖS KOLLOIDSTRUMA
    M72000        HYPERPLASI
    M72003        HYPERPLASI DIFFUS
    M72010        HYPERPLASI PRIMÄR
    M72020        HYPERPLASI SEKUNDÄR
    M72030        HYPERPLASI NODULÄR
    M72040        HYPERPLASI POLYPOID
    M72060        GLANDULÄRCYSTISK HYPERPLASI
    M72090        PSEUDOEP HYPERPLASI
    M72100        LOBULÄR HYPERPLASI
    M72200        HYPERPLASI LYMFOID
    M72210        LYMFADENOSIS BENIGNA CUTIS
    M72220        DERMATOPATISK LYMFADENOPATI
    M72230        LYMFOMATOID PAPULOS
    M72240        BENIGN LYMFOEPITELIAL LESION
    M72250        PIRINGER-KUCHINKA LYMFAD.
